steering angle	CTE
-1.29476	0.76
-0.0874878	0.76
-0.0846286	0.7586
-0.0854875	0.7576
-0.0848611	0.7564
-0.0850609	0.7552
-0.0825459	0.753
-0.0815557	0.7501
-0.0824082	0.7478
-0.0795756	0.7438
-0.0798869	0.7407
-0.0743959	0.7354
-0.0768738	0.7314
-0.0705275	0.7247
-0.0679668	0.7171
-0.0715311	0.7115
-0.0653668	0.7023
-0.0627281	0.6919
-0.0650735	0.6844
-0.0541122	0.6721
-0.0595803	0.6633
-0.0516703	0.6491
-0.045703	0.6337
-0.052169	0.6231
-0.055808	0.6144
-0.0707905	0.614
-0.047834	0.6018
-0.0624673	0.5977
-0.0686346	0.5971
-0.0682651	0.5964
-0.0647447	0.5941
-0.0644313	0.5916
-0.0584665	0.5864
-0.0541651	0.5794
-0.0561291	0.5737
-0.0480063	0.5639
-0.0512234	0.5563
-0.037716	0.5435
-0.0331	0.5289
-0.0388769	0.5182
-0.0252802	0.5012
-0.0345091	0.4891
-0.0190609	0.4699
-0.0134524	0.4493
-0.0234104	0.435
-0.00603349	0.4132
-0.0189485	0.3981
-0.000560969	0.3754
0.00359702	0.3522
-0.00878307	0.3367
0.00657906	0.314
-0.00846694	0.2991
0.00995273	0.2774
0.0101271	0.2563
0.00908876	0.2364
-0.00308829	0.224
0.00891887	0.207
-0.00709204	0.1965
0.00518814	0.1823
0.00394067	0.1696
0.00142328	0.1587
-0.00806447	0.1526
-0.0043535	0.1453
-0.029052	0.1504
-0.065588	0.1756
-0.0721067	0.2028
-0.106858	0.2446
-0.111052	0.2837
-0.103536	0.3174
-0.0892139	0.3437
-0.0653541	0.3566
-0.0658201	0.3689
-0.0535261	0.3734
-0.0425729	0.3722
-0.0296457	0.3642
-0.0131515	0.3494
-0.015237	0.3362
0.00470406	0.3128
0.0172204	0.2857
0.00556919	0.2662
0.0294331	0.2365
0.0108546	0.2169
0.0205094	0.1892
0.0270813	0.1638
0.0251724	0.1414
0.00589581	0.1286
0.0146268	0.1131
-0.00716506	0.1084
-0.0472876	0.1257
-0.0917495	0.1705
-0.086022	0.2034
-0.123429	0.2502
-0.0916176	0.2791
-0.105024	0.316
-0.0966203	0.3448
-0.06881	0.359
-0.0703116	0.3721
-0.0528526	0.376
-0.0406206	0.3736
-0.0273241	0.3632
-0.00867138	0.3455
-0.000963453	0.3217
-0.0063257	0.3034
0.0241429	0.2734
0.0220946	0.2411
0.0264416	0.2086
0.026513	0.1776
0.016897	0.1582
0.00024362	0.1479
-0.0625965	0.1692
-0.0680159	0.1919
-0.0944815	0.2255
-0.0671035	0.2465
-0.0845262	0.2741
-0.0789986	0.2964
-0.0692844	0.3125
-0.0517702	0.3192
